Company(Maker-if known);SpecificBeanOrigin or BarName;REF;ReviewDate;CocoaPercent;CompanyLocation;Rating;BeanType;BroadBeanOrigin
A. Morin;Agua Grande;1876;2016;0,63;France;375;nan;Sao Tome
A. Morin;Kpime;1676;2015;0,7;France;275;nan;Togo
A. Morin;Atsane;1676;2015;0,7;France;3;nan;Togo
A. Morin;Akata;1680;2015;0,7;France;35;nan;Togo
A. Morin;Quilla;1704;2015;0,7;France;35;nan;Peru
A. Morin;Carenero;1315;2014;0,7;France;275;Criollo;Venezuela
A. Morin;Cuba;1315;2014;0,7;France;35;nan;Cuba
A. Morin;Sur del Lago;1315;2014;0,7;France;35;Criollo;Venezuela
A. Morin;Puerto Cabello;1319;2014;0,7;France;375;Criollo;Venezuela
A. Morin;Pablino;1319;2014;0,7;France;4;nan;Peru
A. Morin;Panama;1011;2013;0,7;France;275;nan;Panama
A. Morin;Madagascar;1011;2013;0,7;France;3;Criollo;Madagascar
A. Morin;Brazil;1011;2013;0,7;France;325;nan;Brazil
A. Morin;Equateur;1011;2013;0,7;France;375;nan;Ecuador
A. Morin;Colombie;1015;2013;0,7;France;275;nan;Colombia
A. Morin;Birmanie;1015;2013;0,7;France;3;nan;Burma
A. Morin;Papua New Guinea;1015;2013;0,7;France;325;nan;Papua New Guinea
A. Morin;Chuao;1015;2013;0,7;France;4;Trinitario;Venezuela
A. Morin;Piura;1019;2013;0,7;France;325;nan;Peru
A. Morin;Chanchamayo Province;1019;2013;0,7;France;35;nan;Peru
A. Morin;Chanchamayo Province;1019;2013;0,63;France;4;nan;Peru
A. Morin;Bolivia;797;2012;0,7;France;35;nan;Bolivia
A. Morin;Peru;797;2012;0,63;France;375;nan;Peru
Acalli;Chulucanas, El Platanal;1462;2015;0,7;U.S.A.;375;nan;Peru
Acalli;Tumbes, Norandino;1470;2015;0,7;U.S.A.;375;Criollo;Peru
Adi;Vanua Levu;705;2011;0,6;Fiji;275;Trinitario;Fiji
Adi;Vanua Levu, Toto-A;705;2011;0,8;Fiji;325;Trinitario;Fiji
Adi;Vanua Levu;705;2011;0,88;Fiji;35;Trinitario;Fiji
Adi;Vanua Levu, Ami-Ami-CA;705;2011;0,72;Fiji;35;Trinitario;Fiji
Aequare (Gianduja);Los Rios, Quevedo, Arriba;370;2009;0,55;Ecuador;275;Forastero (Arriba);Ecuador
Aequare (Gianduja);Los Rios, Quevedo, Arriba;370;2009;0,7;Ecuador;3;Forastero (Arriba);Ecuador
Ah Cacao;Tabasco;316;2009;0,7;Mexico;3;Criollo;Mexico
Akesson's (Pralus);Bali (west), Sukrama Family, Melaya area;636;2011;0,75;Switzerland;375;Trinitario;Indonesia
Akesson's (Pralus);Madagascar, Ambolikapiky P.;502;2010;0,75;Switzerland;275;Criollo;Madagascar
Akesson's (Pralus);Monte Alegre, D. Badero;508;2010;0,75;Switzerland;275;Forastero;Brazil
Alain Ducasse;Trinite;1215;2014;0,65;France;275;Trinitario;Trinidad
Alain Ducasse;Vietnam;1215;2014;0,75;France;275;Trinitario;Vietnam
Alain Ducasse;Madagascar;1215;2014;0,75;France;3;Trinitario;Madagascar
Alain Ducasse;Chuao;1061;2013;0,75;France;25;Trinitario;Venezuela
